"filename", "language", "Markdown", "CSS", "JSON with Comments", "TypeScript", "JSON", "XML", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\nilow\Desktop\react-project\app\src\data\Enemies.ts", "TypeScript", 0, 0, 0, 728, 0, 0, 0, 0, 0, 2, 730
"c:\Users\nilow\Desktop\react-project\app\src\data\Locations.ts", "TypeScript", 0, 0, 0, 895, 0, 0, 0, 0, 0, 15, 910
"c:\Users\nilow\Desktop\react-project\app\src\data\Paths.ts", "TypeScript", 0, 0, 0, 88, 0, 0, 0, 0, 0, 1, 89
"c:\Users\nilow\Desktop\react-project\app\src\data\PlayerStats.ts", "TypeScript", 0, 0, 0, 141, 0, 0, 0, 0, 0, 3, 144
"c:\Users\nilow\Desktop\react-project\app\src\functions\Areas.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\nilow\Desktop\react-project\app\src\functions\Combat\GetAttackData.ts", "TypeScript", 0, 0, 0, 98, 0, 0, 0, 0, 0, 22, 120
"c:\Users\nilow\Desktop\react-project\app\src\functions\Combat\GetWinLoot.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"c:\Users\nilow\Desktop\react-project\app\src\functions\GetCountCanCraft.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\nilow\Desktop\react-project\app\src\functions\Random.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\nilow\Desktop\react-project\app\src\functions\Sorting\SortingCraft.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 13, 96
"c:\Users\nilow\Desktop\react-project\app\src\functions\Sorting\SortingInventory.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"c:\Users\nilow\Desktop\react-project\app\src\functions\Stats.ts", "TypeScript", 0, 0, 0, 125, 0, 0, 0, 0, 0, 7, 132
"c:\Users\nilow\Desktop\react-project\app\src\hooks\redux.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\nilow\Desktop\react-project\app\src\icons\logos\logo.svg", "XML", 0, 0, 0, 0, 0, 122, 0, 0, 1, 1, 124
"c:\Users\nilow\Desktop\react-project\app\src\index.css", "CSS", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\nilow\Desktop\react-project\app\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 3, 6, 28
"c:\Users\nilow\Desktop\react-project\app\src\library\StatsLibrary.ts", "TypeScript", 0, 0, 0, 172, 0, 0, 0, 0, 0, 12, 184
"c:\Users\nilow\Desktop\react-project\app\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\nilow\Desktop\react-project\app\src\models\IArea.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"c:\Users\nilow\Desktop\react-project\app\src\models\IAreaItem.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 1, 9, 50
"c:\Users\nilow\Desktop\react-project\app\src\models\ICombat.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\nilow\Desktop\react-project\app\src\models\IEnemy.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 9, 77
"c:\Users\nilow\Desktop\react-project\app\src\models\IEquipment.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\nilow\Desktop\react-project\app\src\models\IInventory.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
